경로	활동	act_type	click_type	key	value
feed/rising_hashtag	화면 조회	pageview		page_id	{{page_id}}
feed/rising_hashtag	탭 클릭	click	탭	page_id, click_text	{{page_id}}, {{요즘뜨는#/발견/팔로잉}}
feed/rising_hashtag	탭 스와이프	swipe	탭	page_id, swipe_text	{{page_id}}, {{요즘뜨는#/발견/팔로잉}}
feed/rising_hashtag	피드 게시물 클릭	click	피드게시물	page_id, click_text, feedSeq, profileSeq, tag, feedType	{{page_id}}, {{클릭한 피드의 제목}}, {{피드 id}}, {{피드 작성자 프로필 id}}, {{해시태그 타이틀}}, {{피드 타입}}
feed/discovery	화면 조회	pageview		page_id	{{page_id}}
feed/discovery	탭 클릭	click	탭	page_id, click_text	{{page_id}}, {{요즘뜨는#/발견/팔로잉}}
feed/discovery	탭 스와이프	swipe	탭	page_id, swipe_text	{{page_id}}, {{요즘뜨는#/발견/팔로잉}}
feed/discovery	피드 게시물 클릭	click	피드게시물	page_id, click_text, feedSeq, profileSeq, tag, likeCount, feedType	{{page_id}}, {{클릭한 피드의 제목}}, {{피드 id}}, {{피드 작성자 프로필 id}}, {{게시글 내용 내의 해시태그}}, {{좋아요 수}}, {{피드 타입}}
feed/discovery	광고 노출	impression		page_id, ad_id	{{page_id}}, {{네트워크 광고 ID}}
feed/discovery	광고 클릭	click	광고	page_id, ad_id	{{page_id}}, {{네트워크 광고 ID}}
feed/following	화면 조회	pageview		page_id	{{page_id}}
feed/following	탭 클릭	click	탭	page_id, click_text	{{page_id}}, {{요즘뜨는#/발견/팔로잉}}
feed/following	탭 스와이프	swipe	탭	page_id, swipe_text	{{page_id}}, {{요즘뜨는#/발견/팔로잉}}
feed/following	피드 게시물 클릭	click	피드게시물	page_id, click_text, feedSeq, profileSeq, tag, likeCount, feedType	{{page_id}}, {{클릭한 피드의 제목}}, {{피드 id}}, {{피드 작성자 프로필 id}}, {{게시글 내용 내의 해시태그}}, {{좋아요 수}}, {{피드 타입}}
feed/following	광고 노출	impression		page_id, ad_id	{{page_id}}, {{네트워크 광고 ID}}
feed/following	광고 클릭	click	광고	page_id, click_text, ad_id	{{page_id}}, {{클릭한 광고제목}}, {{네트워크 광고 ID}}
search/main	화면 조회	pageview		page_id	{{page_id}}
search/main	최근 검색어 노출	impression		page_id, kwd_recent	{{page_id}}, {{최근 검색어}}
search/main	최근 검색어 클릭	click	검색어	page_id, click_text, kwd_recent	{{page_id}}, {{클릭한텍스트명}}, {{최근 검색어}}
search/main	추천 검색어 노출	impression		page_id, kwd_recomm	{{page_id}}, {{추천 검색어}}
search/main	추천 검색어 클릭	click	검색어	page_id, click_text, kwd_recomm	{{page_id}}, {{클릭한텍스트명}}, {{추천 검색어}}
search/main	검색 아이콘 클릭	click	검색어	page_id, click_text, kwd_text	{{page_id}}, 검색아이콘, {{검색 키워드}}
search/feed	화면 조회	pageview		page_id, kwd_text	{{page_id}}, {{검색 키워드}}
search/feed	탭 클릭	click	탭	page_id, click_text	{{page_id}}, {{피드/프로필}}
search/feed	스크롤	scroll		page_id, scroll_rate	{{page_id}}, {{scroll_rate}}
search/feed	피드 게시물 클릭	click	피드게시물	page_id, feedSeq, profileSeq, tag, likeCount, feedType	{{page_id}}, {{피드 id}}, {{피드 작성자 프로필 id}}, {{게시글 내용 내의 해시태그}}, {{좋아요 수}}, {{피드 타입}}
search/profile	화면 조회	pageview		page_id, kwd_text	{{page_id}}, {{검색 키워드}}
search/profile	탭 클릭	click	탭	page_id, click_text	{{page_id}}, {{피드/프로필}}
search/profile	프로필 클릭	click	프로필	page_id, profileSeq	{{page_id}}, {{프로필 id}}
search/no_result	화면 조회	pageview		page_id, kwd_text	{{page_id}}, {{검색 키워드}}
feed/profile/feed	화면 조회	pageview		page_id, profileSeq	{{page_id}}, {{주인 프로필 id}}
