경로	활동	act_type	click_type	key	value
0. 공통	상단 탭 클릭	click	상단 탭	page_id, click_text, order	{{page_id}}, {{탭 이름}}, {{탭 순서}}
0. 공통	하단 GNB 클릭	click	하단 GNB	page_id, click_text, order	{{page_id}}, {{GNB 이름}}, {{GNB 순서}}
0. 공통	검색 아이콘 클릭	click	검색 아이콘	page_id, tab_name	{{page_id}}, {{탭 이름}}
0. 공통	장바구니 아이콘 클릭	click	장바구니 아이콘	page_id, tab_name	{{page_id}}, {{탭 이름}}
0. 공통	스크롤	scroll		page_id, area_name, area_order	{{page_id}}, {{영역 TEXT}}, {{영역 순서}}
1. 스토어 홈 (메인)	스토어 홈 (메인) 조회	pageview		page_id	{{page_id}}
1. 스토어 홈 (메인)	스크롤	scroll		page_id, area_name, area_order	{{page_id}}, {{영역 TEXT}}, {{영역 순서}}
1. 스토어 홈 (메인)	퀵버튼 클릭	click	퀵버튼	page_id, click_text	{{page_id}}, {{퀵버튼 이름}}
1. 스토어 홈 (메인)	배너 노출	impression		page_id, banner_id, banner_url, banner_order, banner_position	{{page_id}}, {{배너 id}}, {{배너 랜딩 url}}, {{배너 순서}}, {{배너 위치}}
1. 스토어 홈 (메인)	배너 클릭	click	배너	page_id, banner_id, banner_url, banner_order, banner_position	{{page_id}}, {{배너 id}}, {{배너 랜딩 url}}, {{배너 순서}}, {{배너 위치}}
1. 스토어 홈 (메인)	상품 클릭 (있는 정보만 수집)	click	상품	page_id, area_name, area_order, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_tag, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{영역 TEXT}}, {{영역 순서}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{상품 태그}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
1. 스토어 홈 (메인)	찜하기 클릭 - 상품 찜하기 (있는 정보만 수집)	click	상품 찜하기	page_id, area_name, area_order, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_tag, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{영역 TEXT}}, {{영역 순서}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{상품 태그}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
1. 스토어 홈 (메인)	더보기 클릭	click	더보기	page_id, area_name, click_text	{{page_id}}, {{영역 TEXT}}, {{더보기 이름}}
1. 스토어 홈 (메인)	메인 하단 팝업 배너 노출	impression		page_id, banner_id, banner_url, banner_order, banner_position	{{page_id}}, {{배너 id}}, {{배너 랜딩 url}}, {{배너 순서}}, {{배너 위치}}
1. 스토어 홈 (메인)	메인 하단 팝업 배너 클릭	click	배너	page_id, banner_id, banner_url, banner_order, banner_position	{{page_id}}, {{배너 id}}, {{배너 랜딩 url}}, {{배너 순서}}, {{배너 위치}}
2. 랭킹	랭킹 페이지 조회	pageview		page_id	{{page_id}}
2. 랭킹	스크롤	scroll		page_id, area_name	{{page_id}}, {{영역 TEXT}}
2. 랭킹	인기 검색어 클릭	click	인기 검색어	page_id, srch_kwd, kwd_rank, kwd_ctgr	{{page_id}}, {{검색어}}, {{검색어 순위}}, {{검색어 카테고리}}
2. 랭킹	카테고리 탭 클릭	click	카테고리 탭	page_id, click_text	{{page_id}}, {{카테고리 탭 이름}}
2. 랭킹	필터 클릭	click	필터	page_id, prd_filter	{{page_id}}, {{필터 이름}}
2. 랭킹	상품 클릭 (있는 정보만 수집)	click	상품	page_id, area_name, area_order, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_tag, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{영역 TEXT}}, {{영역 순서}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{상품 태그}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
2. 랭킹	찜하기 클릭 - 상품 찜하기 (있는 정보만 수집)	click	상품 찜하기	page_id, area_name, area_order, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_tag, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{영역 TEXT}}, {{영역 순서}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{상품 태그}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
2. 랭킹	배너 노출	impression		page_id, banner_id, banner_url, banner_order	{{page_id}}, {{배너 id}}, {{배너 랜딩 url}}, {{배너 순서}}
2. 랭킹	배너 클릭	click	배너	page_id, banner_id, banner_url, banner_order	{{page_id}}, {{배너 id}}, {{배너 랜딩 url}}, {{배너 순서}}
3. 타임딜	타임딜 페이지 조회	pageview		page_id	{{page_id}}
3. 타임딜	스크롤	scroll		page_id, area_name, area_order	{{page_id}}, {{영역 TEXT}}, {{영역 순서}}
3. 타임딜	상품 클릭 (있는 정보만 수집)	click	상품	page_id, area_name, area_order, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_is_ad	{{page_id}}, {{영역 TEXT}}, {{영역 순서}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{광고 상품 여부}}
3. 타임딜	찜하기 클릭 (있는 정보만 수집)	click	상품 찜하기	page_id, area_name, area_order, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_is_ad	{{page_id}}, {{영역 TEXT}}, {{영역 순서}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{광고 상품 여부}}
4. 기획전 - 목록타입	기획전-목록타입 조회	pageview		page_id, exh_id, exh_name, exh_tag	{{page_id}}, {{기획전 id}}, {{기획전 제목}}, {{태그}}
4. 기획전 - 목록타입	기획전 리스트 클릭	click	기획전 리스트	page_id, exh_id, exh_name, exh_tag	{{page_id}}, {{기획전 id}}, {{기획전 제목}}, {{태그}}
5. 기획전 - 상세타입	기획전-상세타입 조회	pageview		page_id	{{page_id}}
5. 기획전 - 상세타입	더보기 클릭	click	더보기	page_id, click_text	{{page_id}}, {{더보기 이름}}
5. 기획전 - 상세타입	필터 클릭	click	필터	page_id, prd_filter	{{page_id}}, {{필터 이름}}
5. 기획전 - 상세타입	칩버튼 클릭	click	칩버튼	page_id, click_text	{{page_id}}, {{칩버튼 이름}}
5. 기획전 - 상세타입	카테고리 탭 클릭	click	카테고리 탭	page_id, click_text	{{page_id}}, {{카테고리 탭 이름}}
5. 기획전 - 상세타입	상품 클릭 (있는 정보만 수집)	click	상품	page_id, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_tag, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{상품 태그}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
5. 기획전 - 상세타입	찜하기 클릭 - 상품 찜하기 (있는 정보만 수집)	click	상품 찜하기	page_id, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_tag, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{상품 태그}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
6. 혜택 모아보기	혜택 모아보기 조회	pageview		page_id	{{page_id}}
6. 혜택 모아보기	퀵버튼 클릭	click	퀵버튼	page_id, click_text	{{page_id}}, {{퀵버튼 이름}}
6. 혜택 모아보기	칩버튼 클릭	click	칩버튼	page_id, click_text	{{page_id}}, {{칩버튼 이름}}
6. 혜택 모아보기	이벤트 노출	impression		page_id, event_id, event_name	{{page_id}}, {{이벤트 id}}, {{이벤트 제목}}
6. 혜택 모아보기	이벤트 클릭	click	이벤트	page_id, event_id, event_name	{{page_id}}, {{이벤트 id}}, {{이벤트 제목}}
6. 혜택 모아보기	배너 노출	impression		page_id, banner_id, banner_url, banner_order	{{page_id}}, {{배너 id}}, {{배너 랜딩 url}}, {{배너 순서}}
6. 혜택 모아보기	배너 클릭	click	배너	page_id, banner_id, banner_url, banner_order	{{page_id}}, {{배너 id}}, {{배너 랜딩 url}}, {{배너 순서}}
7-0. 상품 상세 페이지 - 공통	상품 상세 페이지 조회	pageview		page_id, tab_name, prd_code, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_tag, prd_review_score, prd_review_cnt	{{page_id}}, {{탭 이름}}, {{상품 코드}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{상품 태그}}, {{별 점}}, {{리뷰 수}}
7-0. 상품 상세 페이지 - 공통	구매하기 버튼 클릭 (옵션 선택 전)	click	구매 버튼	page_id, tab_name, prd_code, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_tag, prd_review_score, prd_review_cnt, click_text	{{page_id}}, {{탭 이름}}, {{상품 코드}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{상품 태그}}, {{별 점}}, {{리뷰 수}}, {{버튼 이름}}
7-0. 상품 상세 페이지 - 공통	바로 구매하기/원터치 결제하기 버튼 클릭 (옵션 선택 후)	click	구매 버튼	page_id, tab_name, prd_code, prd_option, total_quantity, total_price_origin, total_price_final, click_text	{{page_id}}, {{탭 이름}}, {{상품 코드}}, {{옵션}}, {{총 수량}}, {{총 금액}}, {{최대 할인가}}, {{버튼 이름}}
7-0. 상품 상세 페이지 - 공통	장바구니 담기 버튼 클릭 (옵션 선택 후)	click	장바구니 버튼	page_id, tab_name, prd_code, prd_option, total_quantity, total_price_origin, total_price_final, click_text	{{page_id}}, {{탭 이름}}, {{상품 코드}}, {{옵션}}, {{총 수량}}, {{총 금액}}, {{최대 할인가}}, {{버튼 이름}}
