기능	경로	활동	no	page_id	click_type	act_type	click_text	keys_combined	values_combined	key_count	keys-정답
챌린지 ios	메인	챌린지 메인 조회	1	challenge/home		pageview		channel	Rround	1	page_id
챌린지 ios	메인	내 챌린지 클릭	3	challenge/home	메인	click	내 챌린지	channel, click_text	Rround, 내 챌린지	2	page_id, click_text
챌린지 ios	메인	우상단 검색 아이콘	30	challenge/home	메인	click	검색 돋보기	channel, click_text	Rround, 검색 돋보기	2	page_id, click_type, click_text
챌린지 ios	메인	우상단 대화 아이콘	31	challenge/home	메인	click	대화 말풍선	channel, click_text	Rround, 대화 말풍선	2	page_id, click_type, click_text
챌린지 ios	메인	우상단 프로필 아이콘	32	challenge/home	메인	click	내 프로필	channel, click_text	Rround, 내 프로필	2	page_id, click_type, click_text
챌린지 ios	메인	상세 챌린지 (배너) 클릭	33	challenge/home	상세 챌린지	click	배너	channel, click_text	Rround, 배너	2	page_id, banner_id, banner_url, banner_text, order, click_type
챌린지 ios	메인	상세 챌린지 (배너) 노출									
챌린지 ios	메인	상세 챌린지 (배너) 스와이프									
챌린지 ios	메인	챌린지 검색 돋보기 버튼 클릭									
챌린지 ios	메인	베스트 챌린저 관련 기능 전체 미확인									
챌린지 ios	챌린지/내챌린지	내 챌린지 조회	4	challenge/my_challenge		pageview		channel	Rround	1	page_id
챌린지 ios	챌린지/내챌린지	내 챌린지 > 챌린지 도전하기 클릭 누락									
챌린지 ios	챌린지/내챌린지	마이포인트 클릭 누락									
챌린지 ios	메인/내챌린지	상세 챌린지 클릭	58	challenge/my_challenge	내 챌린지	click	챌린지 도전하기	channel, click_text	Rround, 챌린지 도전하기	2	
챌린지 ios	메인	상세 챌린지 클릭	5	challenge/home	상세 챌린지	click	이런 챌린지 어때요?	channel, click_text	Rround, 이런 챌린지 어때요?	2	page_id,act_type,channel,click_text,click_type,list_title,list_order,chal_order,challengeName,challengeSeq,mainTitle,activeParticipantCount,sticker                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
챌린지 ios	메인	상세 챌린지 클릭	6	challenge/home	상세 챌린지	click	1일차 이런 챌린지 어때요?	channel, click_text	Rround, 1일차 이런 챌린지 어때요?	2	page_id,act_type,channel,click_text,click_type,list_title,list_order,chal_order,challengeName,challengeSeq,mainTitle,activeParticipantCount,sticker                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
챌린지 ios	챌린지/챌린지상세	챌린지 상세 페이지 조회	7	challenge/challenge_detail		pageview		channel	Rround	1	page_id,act_type,channel,profileSeq,challengeName,challengeSeq,activeParticipantCount,totalFeedCount
챌린지 ios	챌린지/챌린지상세	동의 팝업	8	onboarding/terms		pageview		channel	Rround	1	
챌린지 ios	챌린지/챌린지상세	동의 팝업 클릭	9	onboarding/terms	동의하고 계속하기	click	동의하고 계속하기	channel, click_text	Rround, 동의하고 계속하기	2	
챌린지 ios	챌린지/챌린지상세	이렇게 인증해 주세요 팝업 누락									
챌린지 ios	챌린지/챌린지상세	이렇게 인증해 주세요 확인 클릭 누락									
챌린지 ios	챌린지/챌린지상세/게시글	게시글 > 상품 태그 클릭 누락									
챌린지 ios	챌린지/챌린지상세/게시글	게시글 > 해시태그 클릭 누락									
챌린지 ios	메인	네이티브 광고 클릭	10	challenge/home	광고	click	클릭한 광고 텍스트	channel, click_text	Rround, 클릭한 광고 텍스트	2	page_id,act_type,channel,click_text,click_type,list_order,ad_id
챌린지 ios	메인	전체 챌린지 클릭	11	challenge/home	상세 챌린지	click	전체 챌린지	channel, click_text	Rround, 전체 챌린지	2	page_id,act_type,channel,click_text,click_type,list_title,list_order,chal_order
챌린지 ios	챌린지/지금뜨는챌린지	지금 뜨는 챌린지 페이지 조회	12	challenge/all_challenge_list		pageview		channel	Rround	1	page_id
챌린지 ios	메인	지금 뜨는 챌린지 카테고리 클릭	13	challenge/home	카테고리	click	라운드추천챌린지	channel, click_text	Rround, 라운드추천챌린지	2	page_id,act_type,channel,click_text,click_type,list_title,list_order,chal_order,ctgr_name
챌린지 ios	메인	지금 뜨는 챌린지 카테고리 클릭	14	challenge/home	카테고리	click	발로소득최고인기	channel, click_text	Rround, 발로소득최고인기	2	page_id,act_type,channel,click_text,click_type,list_title,list_order,chal_order,ctgr_name
챌린지 ios	메인	상세 챌린지 클릭	17	challenge/home	상세 챌린지	click	지금 뜨는 챌린지	channel, click_text	Rround, 지금 뜨는 챌린지	2	page_id,act_type,channel,click_text,click_type,list_title,list_order,chal_order,challengeName,challengeSeq,mainTitle,activeParticipantCount,sticker                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
챌린지 ios	메인	상세 피드 클릭	18	challenge/home	챌린지 피드	click	클릭한 피드 이름	channel, click_text	Rround, 클릭한 피드 이름	2	page_id,act_type,channel,click_text,click_type,list_title,list_order,profileSeq,vertifyCount,feedTitle,feedSeq
챌린지 ios	챌린지/지금뜨는챌린지	카테고리 클릭	23	challenge/all_challenge_list	카테고리	click	HEA	channel, click_text	Rround, HEA	2	page_id,act_type,channel,click_text,click_type,chal_order,ctgr_name
챌린지 ios	챌린지/지금뜨는챌린지	카테고리 클릭	24	challenge/all_challenge_list	카테고리	click	REC	channel, click_text	Rround, REC	2	page_id,act_type,channel,click_text,click_type,chal_order,ctgr_name
챌린지 ios	챌린지/지금뜨는챌린지	카테고리 클릭	25	challenge/all_challenge_list	카테고리	click	TYPE	channel, click_text	Rround, TYPE	2	page_id,act_type,channel,click_text,click_type,chal_order,ctgr_name
챌린지 ios	챌린지/지금뜨는챌린지	카테고리 클릭	26	challenge/all_challenge_list	카테고리	click	ROUTINE	channel, click_text	Rround, ROUTINE	2	page_id,act_type,channel,click_text,click_type,chal_order,ctgr_name
챌린지 ios	챌린지/지금뜨는챌린지	상세 챌린지 클릭	27	challenge/all_challenge_list	상세 챌린지	click	오글거린다는 말로 하지 못했던 나의 감정을 손으로 적어보세요. 낭만이 있던 그때의 그 모습도 좋았잖아요	channel, click_text	Rround, 오글거린다는 말로 하지 못했던 나의 감정을 손으로 적어보세요. 낭만이 있던 그때의 그 모습도 좋았잖아요	2	page_id,act_type,channel,click_text,click_type,list_title,list_order,chal_order,challengeName,challengeSeq,mainTitle,activeParticipantCount,sticker                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
